name,category,cat_code,l,w,h,weight,score
Ceramic Plates,Fragile,1,13,30,42,13,0.0
Car Engine,Heavy Load,2,42,52,15,33,7.8536
Antique Lamp,Fragile,1,15,59,31,9,0.0
Wine Bottles,Fragile,1,34,45,14,11,0.0
Books,Common,0,28,30,59,13,1.116
Steel Beam,Heavy Load,2,20,34,11,50,8.272
Safe Box,Heavy Load,2,12,14,27,48,7.9472
Tools,Common,0,21,22,47,2,0.3048
Generator,Heavy Load,2,24,41,34,55,8.6936
TV Screen,Fragile,1,36,51,39,8,0.0
Books,Common,0,45,13,12,15,1.134
Anvil,Heavy Load,2,59,21,49,69,9.6356
Steel Beam,Heavy Load,2,48,37,19,71,9.970400000000001
Shoes,Common,0,52,45,55,13,1.716
Generator,Heavy Load,2,55,56,13,36,8.392
Antique Lamp,Fragile,1,35,37,15,13,0.0
Wine Bottles,Fragile,1,40,55,40,13,0.0
Industrial Motor,Heavy Load,2,53,18,22,79,10.0
Plastic Toys,Common,0,53,17,37,17,1.3803999999999998
Books,Common,0,46,58,53,2,1.1872
Safe Box,Heavy Load,2,31,50,37,65,9.52
Wine Bottles,Fragile,1,48,23,11,2,0.0
Ceramic Plates,Fragile,1,38,58,47,2,0.0
Wine Bottles,Fragile,1,53,30,41,10,0.0
Mirror,Fragile,1,41,34,26,7,0.0
Safe Box,Heavy Load,2,20,10,37,57,8.5
Canned Food,Common,0,30,21,12,26,1.812
Laboratory Beaker,Fragile,1,43,54,15,6,0.0
Mirror,Fragile,1,24,53,30,9,0.0
Books,Common,0,36,18,54,2,0.3792000000000001
Glass Vase,Fragile,1,20,45,29,13,0.0
Gym Weights,Heavy Load,2,41,21,41,69,9.484399999999999
Car Engine,Heavy Load,2,48,34,21,78,10.0
Tools,Common,0,11,49,50,3,0.3956
Paper Ream,Common,0,37,42,57,17,1.6416
Steel Beam,Heavy Load,2,51,48,44,49,8.9192
Steel Beam,Heavy Load,2,48,40,12,52,8.888
Plastic Toys,Common,0,46,29,37,24,1.9735999999999998
Generator,Heavy Load,2,32,12,31,76,9.7136
Concrete Block,Heavy Load,2,13,49,29,61,8.9148
Shoes,Common,0,11,52,49,2,0.34879999999999994
Paper Ream,Common,0,22,22,42,16,1.1536
Glass Vase,Fragile,1,29,14,53,1,0.0
Glass Vase,Fragile,1,43,37,40,7,0.0
Laboratory Beaker,Fragile,1,44,16,54,14,0.0
Plastic Toys,Common,0,18,41,20,24,1.7351999999999996
Shoes,Common,0,23,19,36,14,1.0148
Clothes,Common,0,27,14,48,18,1.2311999999999999
Ceramic Plates,Fragile,1,11,33,17,8,0.0
Books,Common,0,58,54,56,22,2.5728
Paper Ream,Common,0,17,25,49,4,0.41
Cushions,Common,0,30,47,11,25,2.064
Books,Common,0,47,19,48,5,0.6572
Industrial Motor,Heavy Load,2,57,19,45,39,7.7732
Industrial Motor,Heavy Load,2,39,39,23,41,8.0684
Cushions,Common,0,34,42,10,21,1.8311999999999997
Plastic Toys,Common,0,12,16,34,17,1.0968
Glass Vase,Fragile,1,25,40,19,3,0.0
Mirror,Fragile,1,46,16,28,5,0.0
Books,Common,0,36,58,47,9,1.3752
Tools,Common,0,42,10,40,9,0.708
Generator,Heavy Load,2,47,36,30,77,10.0
Steel Beam,Heavy Load,2,21,38,29,41,7.7792
Glass Vase,Fragile,1,40,20,23,1,0.0
Ceramic Plates,Fragile,1,26,43,25,9,0.0
Books,Common,0,15,42,15,27,1.8719999999999999
Glass Vase,Fragile,1,13,27,50,5,0.0
Mirror,Fragile,1,10,10,46,2,0.0
Paper Ream,Common,0,26,44,34,22,1.7776
Cushions,Common,0,33,34,25,18,1.5288
Steel Beam,Heavy Load,2,15,36,24,62,8.936
Anvil,Heavy Load,2,32,33,15,76,9.9824
Industrial Motor,Heavy Load,2,46,31,36,78,10.0
Mirror,Fragile,1,40,38,48,9,0.0
Cushions,Common,0,19,45,37,19,1.482
Glass Vase,Fragile,1,39,16,26,14,0.0
Safe Box,Heavy Load,2,31,45,42,42,8.078
Glass Vase,Fragile,1,31,34,55,8,0.0
Ceramic Plates,Fragile,1,50,48,41,3,0.0
Glass Vase,Fragile,1,40,54,18,10,0.0
Ceramic Plates,Fragile,1,36,41,46,1,0.0
Wine Bottles,Fragile,1,56,21,49,5,0.0
Paper Ream,Common,0,22,29,17,22,1.5752
Books,Common,0,59,28,11,26,2.2207999999999997
Cushions,Common,0,51,59,39,24,2.6436
Books,Common,0,11,20,22,6,0.44799999999999995
Wine Bottles,Fragile,1,23,37,19,12,0.0
Generator,Heavy Load,2,50,19,25,61,9.040000000000001
Books,Common,0,22,35,14,21,1.568
Clothes,Common,0,45,33,42,6,0.954
Wine Bottles,Fragile,1,59,20,48,7,0.0
Cushions,Common,0,35,36,48,25,2.004
Gym Weights,Heavy Load,2,49,45,56,76,10.0
Shoes,Common,0,56,21,55,20,1.6704
Clothes,Common,0,13,52,46,20,1.4704000000000002
Industrial Motor,Heavy Load,2,52,58,40,77,10.0
Shoes,Common,0,44,48,56,15,1.7448000000000001
Steel Beam,Heavy Load,2,56,51,16,36,8.3024
Glass Vase,Fragile,1,52,36,19,12,0.0
Car Engine,Heavy Load,2,14,36,47,54,8.4416
Clothes,Common,0,40,36,56,20,1.7760000000000002
TV Screen,Fragile,1,21,40,27,4,0.0
Tools,Common,0,28,30,28,27,1.956
Cushions,Common,0,42,53,56,25,2.3904000000000005
Glass Vase,Fragile,1,59,47,17,9,0.0
Monitor,Fragile,1,47,15,34,2,0.0
Antique Lamp,Fragile,1,13,55,50,12,0.0
Shoes,Common,0,36,35,54,9,1.044
Clothes,Common,0,37,48,58,25,2.2104
Paper Ream,Common,0,41,39,19,19,1.7795999999999998
Industrial Motor,Heavy Load,2,19,13,38,77,9.718799999999998
Canned Food,Common,0,40,37,25,4,0.8320000000000001
Gym Weights,Heavy Load,2,51,31,30,75,10.0
Monitor,Fragile,1,31,27,10,6,0.0
Steel Beam,Heavy Load,2,13,54,53,72,9.6008
Paper Ream,Common,0,50,10,29,25,1.7
Tools,Common,0,37,29,28,12,1.1492
Monitor,Fragile,1,59,38,55,7,0.0
TV Screen,Fragile,1,14,52,12,12,0.0
Books,Common,0,21,26,31,4,0.4584
Plastic Toys,Common,0,55,54,11,22,2.508
Glass Vase,Fragile,1,12,15,15,13,0.0
Industrial Motor,Heavy Load,2,26,54,11,50,8.5616
Safe Box,Heavy Load,2,54,35,30,38,8.036
Canned Food,Common,0,20,52,46,23,1.796
Concrete Block,Heavy Load,2,30,34,50,76,9.968
Wine Bottles,Fragile,1,44,42,43,9,0.0
Industrial Motor,Heavy Load,2,11,43,31,32,7.1091999999999995
Monitor,Fragile,1,53,24,24,8,0.0
Safe Box,Heavy Load,2,45,35,34,57,9.05
Mirror,Fragile,1,29,22,50,11,0.0
Concrete Block,Heavy Load,2,18,51,16,45,8.0672
Cushions,Common,0,27,48,53,27,2.1384
Anvil,Heavy Load,2,35,19,46,70,9.466
Antique Lamp,Fragile,1,10,47,51,2,0.0
Wine Bottles,Fragile,1,18,43,58,9,0.0
Plastic Toys,Common,0,40,16,24,16,1.216
Tools,Common,0,52,28,40,22,1.9024
Plastic Toys,Common,0,44,16,25,15,1.1816
Cushions,Common,0,23,15,28,11,0.7979999999999999
Antique Lamp,Fragile,1,56,14,19,11,0.0
Clothes,Common,0,50,36,59,5,1.02
Paper Ream,Common,0,33,51,42,26,2.2332
Generator,Heavy Load,2,47,45,42,45,8.546000000000001
Canned Food,Common,0,20,32,14,3,0.43600000000000005
Anvil,Heavy Load,2,13,26,15,44,7.7752
Car Engine,Heavy Load,2,37,16,46,61,8.8968
Books,Common,0,40,19,13,10,0.9039999999999999
Canned Food,Common,0,26,55,15,19,1.7120000000000002
Generator,Heavy Load,2,35,25,55,34,7.390000000000001
Shoes,Common,0,53,40,14,28,2.528
Glass Vase,Fragile,1,39,47,30,8,0.0
Safe Box,Heavy Load,2,50,50,40,35,8.1
Wine Bottles,Fragile,1,56,11,19,11,0.0
Ceramic Plates,Fragile,1,34,29,32,6,0.0
Generator,Heavy Load,2,27,37,30,59,8.9396
Shoes,Common,0,58,40,59,15,1.828
Safe Box,Heavy Load,2,50,30,17,47,8.42
Concrete Block,Heavy Load,2,57,10,33,66,9.187999999999999
Gym Weights,Heavy Load,2,32,17,18,56,8.5776
TV Screen,Fragile,1,17,57,15,7,0.0
Laboratory Beaker,Fragile,1,52,58,20,5,0.0
Clothes,Common,0,29,15,51,11,0.834
Concrete Block,Heavy Load,2,35,46,33,48,8.524
Wine Bottles,Fragile,1,52,49,22,8,0.0
Monitor,Fragile,1,38,30,35,10,0.0
Wine Bottles,Fragile,1,22,24,49,2,0.0
Canned Food,Common,0,12,16,15,18,1.1568
Ceramic Plates,Fragile,1,10,16,33,12,0.0
Shoes,Common,0,30,37,36,20,1.6440000000000001
Plastic Toys,Common,0,34,54,30,23,2.1144
Wine Bottles,Fragile,1,51,33,32,13,0.0
Gym Weights,Heavy Load,2,34,36,20,40,7.8896
Industrial Motor,Heavy Load,2,10,48,41,40,7.5920000000000005
Car Engine,Heavy Load,2,12,30,44,49,8.084
Books,Common,0,51,32,13,22,1.9728
Concrete Block,Heavy Load,2,52,31,40,55,8.9448
Antique Lamp,Fragile,1,17,54,31,10,0.0
Industrial Motor,Heavy Load,2,37,25,18,77,9.99
Ceramic Plates,Fragile,1,36,45,20,6,0.0
Cushions,Common,0,33,18,17,10,0.8376000000000001
Industrial Motor,Heavy Load,2,37,56,42,41,8.2888
Ceramic Plates,Fragile,1,44,53,32,10,0.0
Clothes,Common,0,39,52,26,6,1.1712
Shoes,Common,0,11,13,55,20,1.2571999999999999
Concrete Block,Heavy Load,2,25,44,17,36,7.6
Industrial Motor,Heavy Load,2,41,32,51,71,9.7848
TV Screen,Fragile,1,50,12,53,11,0.0
Cushions,Common,0,49,23,20,25,1.9507999999999999
Laboratory Beaker,Fragile,1,52,22,30,11,0.0
Monitor,Fragile,1,46,30,57,2,0.0
Industrial Motor,Heavy Load,2,48,46,38,72,10.0
Monitor,Fragile,1,16,28,58,11,0.0
Concrete Block,Heavy Load,2,27,23,59,70,9.448400000000001
Anvil,Heavy Load,2,59,16,50,42,7.8976
Car Engine,Heavy Load,2,34,20,55,41,7.731999999999999
Cushions,Common,0,46,40,14,14,1.576
Shoes,Common,0,33,12,39,19,1.2984
Gym Weights,Heavy Load,2,58,49,28,48,9.0168
Steel Beam,Heavy Load,2,39,27,41,77,10.0
Tools,Common,0,30,27,35,18,1.404
Concrete Block,Heavy Load,2,27,50,20,31,7.4
Safe Box,Heavy Load,2,59,40,10,78,10.0
Industrial Motor,Heavy Load,2,39,16,24,70,9.4496
Canned Food,Common,0,14,44,44,22,1.5664
Cushions,Common,0,16,13,46,4,0.32320000000000004
Anvil,Heavy Load,2,17,51,15,54,8.5868
Industrial Motor,Heavy Load,2,37,55,59,58,9.294
TV Screen,Fragile,1,16,24,19,5,0.0
Safe Box,Heavy Load,2,15,46,31,34,7.316
Generator,Heavy Load,2,54,48,35,54,9.2768
Laboratory Beaker,Fragile,1,28,23,28,3,0.0
Concrete Block,Heavy Load,2,23,40,12,63,9.148
Car Engine,Heavy Load,2,11,29,55,35,7.2276
Shoes,Common,0,35,24,59,11,0.9960000000000001
Canned Food,Common,0,49,16,18,4,0.5536
Gym Weights,Heavy Load,2,34,39,14,52,8.6504
Safe Box,Heavy Load,2,34,36,27,63,9.2696
Antique Lamp,Fragile,1,48,58,57,2,0.0
Safe Box,Heavy Load,2,21,11,39,55,8.3924
Gym Weights,Heavy Load,2,49,12,58,72,9.5552
Wine Bottles,Fragile,1,30,36,36,4,0.0
Ceramic Plates,Fragile,1,57,12,56,9,0.0
Shoes,Common,0,48,57,59,22,2.4143999999999997
Books,Common,0,53,46,37,13,1.7551999999999999
Cushions,Common,0,52,45,27,17,1.956
Anvil,Heavy Load,2,32,52,55,42,8.185599999999999
Clothes,Common,0,41,40,39,22,1.9759999999999998
Clothes,Common,0,25,19,35,8,0.67
Tools,Common,0,20,20,13,25,1.6600000000000001
Monitor,Fragile,1,13,35,29,8,0.0
Wine Bottles,Fragile,1,39,38,14,6,0.0
Ceramic Plates,Fragile,1,24,20,36,9,0.0
Antique Lamp,Fragile,1,25,29,32,14,0.0
Cushions,Common,0,11,56,59,15,1.1464
Ceramic Plates,Fragile,1,35,10,29,8,0.0
Clothes,Common,0,20,39,41,15,1.2120000000000002
Wine Bottles,Fragile,1,47,34,14,4,0.0
Concrete Block,Heavy Load,2,29,53,33,51,8.6748
Car Engine,Heavy Load,2,10,59,11,67,9.256
Shoes,Common,0,36,35,54,24,1.9439999999999997
Anvil,Heavy Load,2,18,18,27,67,9.1496
Monitor,Fragile,1,19,25,45,5,0.0
Steel Beam,Heavy Load,2,36,39,46,43,8.1416
Ceramic Plates,Fragile,1,32,27,41,2,0.0
Books,Common,0,35,26,54,16,1.324
Gym Weights,Heavy Load,2,30,28,14,78,10.0
Clothes,Common,0,13,27,29,22,1.4604
Plastic Toys,Common,0,13,36,10,22,1.5071999999999999
Concrete Block,Heavy Load,2,20,35,42,74,9.719999999999999
Paper Ream,Common,0,20,15,13,23,1.5
Paper Ream,Common,0,51,40,33,27,2.436
Shoes,Common,0,59,29,40,22,2.0044
Antique Lamp,Fragile,1,53,32,24,12,0.0
Monitor,Fragile,1,41,52,10,13,0.0
Canned Food,Common,0,50,33,42,9,1.2
Anvil,Heavy Load,2,40,44,47,62,9.424
Steel Beam,Heavy Load,2,29,23,26,61,8.9268
TV Screen,Fragile,1,51,22,50,7,0.0
Antique Lamp,Fragile,1,36,20,42,5,0.0
Clothes,Common,0,29,50,35,2,0.7000000000000001
Steel Beam,Heavy Load,2,31,43,29,69,9.6732
Books,Common,0,58,41,25,21,2.2112000000000003
Laboratory Beaker,Fragile,1,39,18,28,7,0.0
Glass Vase,Fragile,1,43,33,59,6,0.0
Car Engine,Heavy Load,2,34,38,37,73,9.896799999999999
Glass Vase,Fragile,1,44,35,50,6,0.0
Car Engine,Heavy Load,2,56,52,21,52,9.2848
Ceramic Plates,Fragile,1,24,32,59,12,0.0
